platform,model,sentiment,sentiment_display,gt_total,predicted_count,tp,fp,fn,abstain_on_gt,gt_coverage_valid,precision,recall,f1,specificity,balanced_accuracy,micro_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Facebook,Few—GPT-4o-mini,POS,Positive,144,148,133,15,10,1,0.993,0.899,0.924,0.911,0.923,0.923,,,,,
Facebook,Few—GPT-4o-mini,NEG,Negative,99,71,69,2,30,0,1,0.972,0.697,0.812,0.992,0.844,,,,,
Facebook,Few—GPT-4o-mini,NEU,Neutral,95,118,85,33,10,0,1,0.72,0.895,0.798,0.864,0.879,,,,,
Facebook,Few—GPT-4o-mini,ALL,All,338,337,287,50,50,1,0.997,,,,,,0.852,0.864,0.838,0.84,0.85
Facebook,Few—Llama-3,POS,Positive,144,210,143,67,0,1,0.993,0.681,0.993,0.808,0.655,0.824,,,,,
Facebook,Few—Llama-3,NEG,Negative,99,60,60,0,39,0,1,1,0.606,0.755,1,0.803,,,,,
Facebook,Few—Llama-3,NEU,Neutral,95,67,51,16,44,0,1,0.761,0.537,0.63,0.934,0.735,,,,,
Facebook,Few—Llama-3,ALL,All,338,337,254,83,83,1,0.997,,,,,,0.754,0.814,0.712,0.731,0.742
Facebook,Few—Llama-3.1,POS,Positive,144,162,127,35,16,1,0.993,0.784,0.882,0.83,0.82,0.851,,,,,
Facebook,Few—Llama-3.1,NEG,Negative,99,97,75,22,24,0,1,0.773,0.758,0.765,0.908,0.833,,,,,
Facebook,Few—Llama-3.1,NEU,Neutral,95,78,55,23,40,0,1,0.705,0.579,0.636,0.905,0.742,,,,,
Facebook,Few—Llama-3.1,ALL,All,338,337,257,80,80,1,0.997,,,,,,0.763,0.754,0.739,0.744,0.757
Facebook,Few—o1-mini,POS,Positive,144,179,136,43,7,1,0.993,0.76,0.944,0.842,0.778,0.861,,,,,
Facebook,Few—o1-mini,NEG,Negative,99,91,79,12,20,0,1,0.868,0.798,0.832,0.95,0.874,,,,,
Facebook,Few—o1-mini,NEU,Neutral,95,67,50,17,45,0,1,0.746,0.526,0.617,0.93,0.728,,,,,
Facebook,Few—o1-mini,ALL,All,338,337,265,72,72,1,0.997,,,,,,0.786,0.791,0.756,0.764,0.776
Facebook,Zero—GPT-3.5,POS,Positive,144,182,137,45,6,1,0.993,0.753,0.951,0.84,0.768,0.86,,,,,
Facebook,Zero—GPT-3.5,NEG,Negative,99,106,87,19,12,0,1,0.821,0.879,0.849,0.921,0.9,,,,,
Facebook,Zero—GPT-3.5,NEU,Neutral,95,49,39,10,56,0,1,0.796,0.411,0.542,0.959,0.685,,,,,
Facebook,Zero—GPT-3.5,ALL,All,338,337,263,74,74,1,0.997,,,,,,0.78,0.79,0.747,0.744,0.759
Facebook,Zero—GPT-4o-mini,POS,Positive,144,166,135,31,8,1,0.993,0.813,0.938,0.871,0.84,0.889,,,,,
Facebook,Zero—GPT-4o-mini,NEG,Negative,99,86,76,10,23,0,1,0.884,0.768,0.822,0.958,0.863,,,,,
Facebook,Zero—GPT-4o-mini,NEU,Neutral,95,85,64,21,31,0,1,0.753,0.674,0.711,0.914,0.794,,,,,
Facebook,Zero—GPT-4o-mini,ALL,All,338,337,275,62,62,1,0.997,,,,,,0.816,0.817,0.793,0.801,0.812
Facebook,Zero—Llama-3,POS,Positive,144,211,139,72,4,1,0.993,0.659,0.965,0.783,0.629,0.797,,,,,
Facebook,Zero—Llama-3,NEG,Negative,99,83,73,10,26,0,1,0.88,0.737,0.802,0.958,0.848,,,,,
Facebook,Zero—Llama-3,NEU,Neutral,95,42,37,5,57,1,0.989,0.881,0.389,0.54,0.979,0.684,,,,,
Facebook,Zero—Llama-3,ALL,All,338,336,249,87,87,2,0.994,,,,,,0.741,0.806,0.697,0.708,0.72
Facebook,Zero—Llama-3.1,POS,Positive,144,162,128,34,15,1,0.993,0.79,0.889,0.837,0.825,0.857,,,,,
Facebook,Zero—Llama-3.1,NEG,Negative,99,119,82,37,17,0,1,0.689,0.828,0.752,0.845,0.837,,,,,
Facebook,Zero—Llama-3.1,NEU,Neutral,95,56,47,9,48,0,1,0.839,0.495,0.623,0.963,0.729,,,,,
Facebook,Zero—Llama-3.1,ALL,All,338,337,257,80,80,1,0.997,,,,,,0.763,0.773,0.737,0.737,0.752
Facebook,Zero—o1-mini,POS,Positive,144,187,135,52,8,1,0.993,0.722,0.938,0.816,0.732,0.835,,,,,
Facebook,Zero—o1-mini,NEG,Negative,99,96,82,14,17,0,1,0.854,0.828,0.841,0.941,0.885,,,,,
Facebook,Zero—o1-mini,NEU,Neutral,95,54,46,8,49,0,1,0.852,0.484,0.617,0.967,0.726,,,,,
Facebook,Zero—o1-mini,ALL,All,338,337,263,74,74,1,0.997,,,,,,0.78,0.809,0.75,0.758,0.767
Instagram,DL—BERT-multi,POS,Positive,193,202,154,48,34,5,0.974,0.762,0.798,0.78,0.678,0.738,,,,,
Instagram,DL—BERT-multi,NEG,Negative,52,122,40,82,9,3,0.942,0.328,0.769,0.46,0.717,0.743,,,,,
Instagram,DL—BERT-multi,NEU,Neutral,97,8,5,3,90,2,0.979,0.625,0.052,0.095,0.988,0.52,,,,,
Instagram,DL—BERT-multi,ALL,All,342,332,199,133,133,10,0.971,,,,,,0.599,0.572,0.54,0.445,0.537
Instagram,DL—BETO,POS,Positive,193,133,123,10,65,5,0.974,0.925,0.637,0.755,0.933,0.785,,,,,
Instagram,DL—BETO,NEG,Negative,52,27,16,11,33,3,0.942,0.593,0.308,0.405,0.962,0.635,,,,,
Instagram,DL—BETO,NEU,Neutral,97,172,84,88,11,2,0.979,0.488,0.866,0.625,0.641,0.753,,,,,
Instagram,DL—BETO,ALL,All,342,332,223,109,109,10,0.971,,,,,,0.672,0.669,0.604,0.595,0.665
Instagram,DL—RoBERTa,POS,Positive,193,21,21,0,167,5,0.974,1,0.109,0.196,1,0.554,,,,,
Instagram,DL—RoBERTa,NEG,Negative,52,0,0,0,49,3,0.942,,0,0,1,0.5,,,,,
Instagram,DL—RoBERTa,NEU,Neutral,97,311,95,216,0,2,0.979,0.305,0.979,0.466,0.118,0.549,,,,,
Instagram,DL—RoBERTa,ALL,All,342,332,116,216,216,10,0.971,,,,,,0.349,0.653,0.363,0.221,0.243
Instagram,DL—pysentimiento,POS,Positive,193,100,98,2,90,5,0.974,0.98,0.508,0.669,0.987,0.747,,,,,
Instagram,DL—pysentimiento,NEG,Negative,52,61,36,25,13,3,0.942,0.59,0.692,0.637,0.914,0.803,,,,,
Instagram,DL—pysentimiento,NEU,Neutral,97,171,76,95,19,2,0.979,0.444,0.784,0.567,0.612,0.698,,,,,
Instagram,DL—pysentimiento,ALL,All,342,332,210,122,122,10,0.971,,,,,,0.633,0.672,0.661,0.624,0.635
Instagram,Few—GPT-3.5,POS,Positive,193,210,175,35,13,5,0.974,0.833,0.907,0.868,0.765,0.836,,,,,
Instagram,Few—GPT-3.5,NEG,Negative,52,37,30,7,19,3,0.942,0.811,0.577,0.674,0.976,0.776,,,,,
Instagram,Few—GPT-3.5,NEU,Neutral,97,85,60,25,35,2,0.979,0.706,0.619,0.659,0.898,0.758,,,,,
Instagram,Few—GPT-3.5,ALL,All,342,332,265,67,67,10,0.971,,,,,,0.798,0.783,0.701,0.734,0.78
Instagram,Few—GPT-4o-mini,POS,Positive,193,168,159,9,29,5,0.974,0.946,0.824,0.881,0.94,0.882,,,,,
Instagram,Few—GPT-4o-mini,NEG,Negative,52,21,20,1,29,3,0.942,0.952,0.385,0.548,0.997,0.691,,,,,
Instagram,Few—GPT-4o-mini,NEU,Neutral,97,143,89,54,6,2,0.979,0.622,0.918,0.742,0.78,0.849,,,,,
Instagram,Few—GPT-4o-mini,ALL,All,342,332,268,64,64,10,0.971,,,,,,0.807,0.84,0.709,0.723,0.791
Instagram,Few—Llama-3,POS,Positive,193,204,174,30,14,5,0.974,0.853,0.902,0.877,0.799,0.85,,,,,
Instagram,Few—Llama-3,NEG,Negative,52,23,20,3,29,3,0.942,0.87,0.385,0.533,0.99,0.687,,,,,
Instagram,Few—Llama-3,NEU,Neutral,97,105,72,33,23,2,0.979,0.686,0.742,0.713,0.865,0.804,,,,,
Instagram,Few—Llama-3,ALL,All,342,332,266,66,66,10,0.971,,,,,,0.801,0.803,0.676,0.708,0.778
Instagram,Few—Llama-3.1,POS,Positive,193,171,158,13,30,5,0.974,0.924,0.819,0.868,0.913,0.866,,,,,
Instagram,Few—Llama-3.1,NEG,Negative,52,46,33,13,16,3,0.942,0.717,0.635,0.673,0.955,0.795,,,,,
Instagram,Few—Llama-3.1,NEU,Neutral,97,115,76,39,19,2,0.979,0.661,0.784,0.717,0.841,0.812,,,,,
Instagram,Few—Llama-3.1,ALL,All,342,332,267,65,65,10,0.971,,,,,,0.804,0.767,0.746,0.753,0.796
Instagram,Few—o1-mini,POS,Positive,193,206,173,33,15,5,0.974,0.84,0.896,0.867,0.779,0.837,,,,,
Instagram,Few—o1-mini,NEG,Negative,52,43,33,10,16,3,0.942,0.767,0.635,0.695,0.966,0.8,,,,,
Instagram,Few—o1-mini,NEU,Neutral,97,83,61,22,34,2,0.979,0.735,0.629,0.678,0.91,0.77,,,,,
Instagram,Few—o1-mini,ALL,All,342,332,267,65,65,10,0.971,,,,,,0.804,0.781,0.72,0.747,0.787
Instagram,Zero—GPT-3.5,POS,Positive,193,214,175,39,13,5,0.974,0.818,0.907,0.86,0.738,0.822,,,,,
Instagram,Zero—GPT-3.5,NEG,Negative,52,55,37,18,12,3,0.942,0.673,0.712,0.692,0.938,0.825,,,,,
Instagram,Zero—GPT-3.5,NEU,Neutral,97,63,50,13,45,2,0.979,0.794,0.515,0.625,0.947,0.731,,,,,
Instagram,Zero—GPT-3.5,ALL,All,342,332,262,70,70,10,0.971,,,,,,0.789,0.761,0.711,0.726,0.768
Instagram,Zero—GPT-4o-mini,POS,Positive,193,185,173,12,15,5,0.974,0.935,0.896,0.915,0.919,0.908,,,,,
Instagram,Zero—GPT-4o-mini,NEG,Negative,52,37,33,4,16,3,0.942,0.892,0.635,0.742,0.986,0.81,,,,,
Instagram,Zero—GPT-4o-mini,NEU,Neutral,97,110,84,26,11,2,0.979,0.764,0.866,0.812,0.894,0.88,,,,,
Instagram,Zero—GPT-4o-mini,ALL,All,342,332,290,42,42,10,0.971,,,,,,0.873,0.864,0.799,0.823,0.859
Instagram,Zero—Llama-3,POS,Positive,193,232,182,50,6,5,0.974,0.784,0.943,0.856,0.664,0.804,,,,,
Instagram,Zero—Llama-3,NEG,Negative,52,42,30,12,19,3,0.942,0.714,0.577,0.638,0.959,0.768,,,,,
Instagram,Zero—Llama-3,NEU,Neutral,97,58,46,12,49,2,0.979,0.793,0.474,0.594,0.951,0.713,,,,,
Instagram,Zero—Llama-3,ALL,All,342,332,258,74,74,10,0.971,,,,,,0.777,0.764,0.665,0.696,0.749
Instagram,Zero—Llama-3.1,POS,Positive,193,182,159,23,29,5,0.974,0.874,0.824,0.848,0.846,0.835,,,,,
Instagram,Zero—Llama-3.1,NEG,Negative,52,70,40,30,9,3,0.942,0.571,0.769,0.656,0.897,0.833,,,,,
Instagram,Zero—Llama-3.1,NEU,Neutral,97,80,60,20,35,2,0.979,0.75,0.619,0.678,0.918,0.768,,,,,
Instagram,Zero—Llama-3.1,ALL,All,342,332,259,73,73,10,0.971,,,,,,0.78,0.732,0.737,0.727,0.771
Instagram,Zero—o1-mini,POS,Positive,193,202,177,25,11,5,0.974,0.876,0.917,0.896,0.832,0.875,,,,,
Instagram,Zero—o1-mini,NEG,Negative,52,46,33,13,16,3,0.942,0.717,0.635,0.673,0.955,0.795,,,,,
Instagram,Zero—o1-mini,NEU,Neutral,97,84,67,17,28,2,0.979,0.798,0.691,0.74,0.931,0.811,,,,,
Instagram,Zero—o1-mini,ALL,All,342,332,277,55,55,10,0.971,,,,,,0.834,0.797,0.747,0.77,0.818
X,DL—BERT-multi,POS,Positive,72,99,53,46,19,0,1,0.535,0.736,0.62,0.85,0.793,,,,,
X,DL—BERT-multi,NEG,Negative,276,263,225,38,51,0,1,0.856,0.815,0.835,0.631,0.723,,,,,
X,DL—BERT-multi,NEU,Neutral,31,17,0,17,31,0,1,0,0,,0.951,0.476,,,,,
X,DL—BERT-multi,ALL,All,379,379,278,101,101,0,1,,,,,,0.734,0.464,0.517,0.727,0.726
X,DL—BETO,POS,Positive,72,84,50,34,22,0,1,0.595,0.694,0.641,0.889,0.792,,,,,
X,DL—BETO,NEG,Negative,276,141,140,1,136,0,1,0.993,0.507,0.671,0.99,0.749,,,,,
X,DL—BETO,NEU,Neutral,31,154,25,129,6,0,1,0.162,0.806,0.27,0.629,0.718,,,,,
X,DL—BETO,ALL,All,379,379,215,164,164,0,1,,,,,,0.567,0.583,0.669,0.528,0.633
X,DL—RoBERTa,POS,Positive,72,9,8,1,64,0,1,0.889,0.111,0.198,0.997,0.554,,,,,
X,DL—RoBERTa,NEG,Negative,276,8,8,0,268,0,1,1,0.029,0.056,1,0.514,,,,,
X,DL—RoBERTa,NEU,Neutral,31,362,31,331,0,0,1,0.086,1,0.158,0.049,0.524,,,,,
X,DL—RoBERTa,ALL,All,379,379,47,332,332,0,1,,,,,,0.124,0.658,0.38,0.137,0.091
X,DL—pysentimiento,POS,Positive,72,48,38,10,34,0,1,0.792,0.528,0.633,0.967,0.748,,,,,
X,DL—pysentimiento,NEG,Negative,276,247,232,15,44,0,1,0.939,0.841,0.887,0.854,0.847,,,,,
X,DL—pysentimiento,NEU,Neutral,31,84,21,63,10,0,1,0.25,0.677,0.365,0.819,0.748,,,,,
X,DL—pysentimiento,ALL,All,379,379,291,88,88,0,1,,,,,,0.768,0.66,0.682,0.629,0.796
X,Few—GPT-3.5,POS,Positive,72,84,67,17,5,0,1,0.798,0.931,0.859,0.945,0.938,,,,,
X,Few—GPT-3.5,NEG,Negative,276,243,241,2,35,0,1,0.992,0.873,0.929,0.981,0.927,,,,,
X,Few—GPT-3.5,NEU,Neutral,31,52,20,32,11,0,1,0.385,0.645,0.482,0.908,0.777,,,,,
X,Few—GPT-3.5,ALL,All,379,379,328,51,51,0,1,,,,,,0.865,0.725,0.816,0.757,0.879
X,Few—GPT-4o-mini,POS,Positive,72,76,67,9,5,0,1,0.882,0.931,0.905,0.971,0.951,,,,,
X,Few—GPT-4o-mini,NEG,Negative,276,224,222,2,54,0,1,0.991,0.804,0.888,0.981,0.892,,,,,
X,Few—GPT-4o-mini,NEU,Neutral,31,79,28,51,3,0,1,0.354,0.903,0.509,0.853,0.878,,,,,
X,Few—GPT-4o-mini,ALL,All,379,379,317,62,62,0,1,,,,,,0.836,0.742,0.879,0.767,0.86
X,Few—Llama-3,POS,Positive,72,132,71,61,1,0,1,0.538,0.986,0.696,0.801,0.894,,,,,
X,Few—Llama-3,NEG,Negative,276,207,206,1,70,0,1,0.995,0.746,0.853,0.99,0.868,,,,,
X,Few—Llama-3,NEU,Neutral,31,40,18,22,13,0,1,0.45,0.581,0.507,0.937,0.759,,,,,
X,Few—Llama-3,ALL,All,379,379,295,84,84,0,1,,,,,,0.778,0.661,0.771,0.685,0.795
X,Few—Llama-3.1,POS,Positive,72,83,65,18,7,0,1,0.783,0.903,0.839,0.941,0.922,,,,,
X,Few—Llama-3.1,NEG,Negative,276,250,239,11,36,1,0.996,0.956,0.866,0.909,0.893,0.88,,,,,
X,Few—Llama-3.1,NEU,Neutral,31,45,20,25,11,0,1,0.444,0.645,0.526,0.928,0.787,,,,,
X,Few—Llama-3.1,ALL,All,379,378,324,54,54,1,0.997,,,,,,0.857,0.728,0.805,0.758,0.864
X,Few—o1-mini,POS,Positive,72,89,71,18,1,0,1,0.798,0.986,0.882,0.941,0.964,,,,,
X,Few—o1-mini,NEG,Negative,276,257,248,9,28,0,1,0.965,0.899,0.931,0.913,0.906,,,,,
X,Few—o1-mini,NEU,Neutral,31,33,18,15,13,0,1,0.545,0.581,0.562,0.957,0.769,,,,,
X,Few—o1-mini,ALL,All,379,379,337,42,42,0,1,,,,,,0.889,0.769,0.822,0.792,0.891
X,Zero—GPT-3.5,POS,Positive,72,90,66,24,6,0,1,0.733,0.917,0.815,0.922,0.919,,,,,
X,Zero—GPT-3.5,NEG,Negative,276,265,255,10,21,0,1,0.962,0.924,0.943,0.903,0.913,,,,,
X,Zero—GPT-3.5,NEU,Neutral,31,24,14,10,17,0,1,0.583,0.452,0.509,0.971,0.711,,,,,
X,Zero—GPT-3.5,ALL,All,379,379,335,44,44,0,1,,,,,,0.884,0.76,0.764,0.756,0.883
X,Zero—GPT-4o-mini,POS,Positive,72,84,69,15,3,0,1,0.821,0.958,0.885,0.951,0.955,,,,,
X,Zero—GPT-4o-mini,NEG,Negative,276,238,234,4,42,0,1,0.983,0.848,0.911,0.961,0.904,,,,,
X,Zero—GPT-4o-mini,NEU,Neutral,31,57,25,32,6,0,1,0.439,0.806,0.568,0.908,0.857,,,,,
X,Zero—GPT-4o-mini,ALL,All,379,379,328,51,51,0,1,,,,,,0.865,0.748,0.871,0.788,0.878
X,Zero—Llama-3,POS,Positive,72,119,69,50,3,0,1,0.58,0.958,0.723,0.837,0.898,,,,,
X,Zero—Llama-3,NEG,Negative,276,230,221,9,54,1,0.996,0.961,0.801,0.874,0.913,0.857,,,,,
X,Zero—Llama-3,NEU,Neutral,31,29,12,17,19,0,1,0.414,0.387,0.4,0.951,0.669,,,,,
X,Zero—Llama-3,ALL,All,379,378,302,76,76,1,0.997,,,,,,0.799,0.651,0.715,0.665,0.806
X,Zero—Llama-3.1,POS,Positive,72,85,60,25,12,0,1,0.706,0.833,0.764,0.919,0.876,,,,,
X,Zero—Llama-3.1,NEG,Negative,276,263,247,16,29,0,1,0.939,0.895,0.917,0.845,0.87,,,,,
X,Zero—Llama-3.1,NEU,Neutral,31,31,13,18,18,0,1,0.419,0.419,0.419,0.948,0.684,,,,,
X,Zero—Llama-3.1,ALL,All,379,379,320,59,59,0,1,,,,,,0.844,0.688,0.716,0.7,0.847
X,Zero—o1-mini,POS,Positive,72,90,69,21,3,0,1,0.767,0.958,0.852,0.932,0.945,,,,,
X,Zero—o1-mini,NEG,Negative,276,257,248,9,28,0,1,0.965,0.899,0.931,0.913,0.906,,,,,
X,Zero—o1-mini,NEU,Neutral,31,32,19,13,12,0,1,0.594,0.613,0.603,0.963,0.788,,,,,
X,Zero—o1-mini,ALL,All,379,379,336,43,43,0,1,,,,,,0.887,0.775,0.823,0.795,0.889
Youtube,DL—BERT-multi,POS,Positive,14,65,7,58,7,0,1,0.108,0.5,0.177,0.794,0.647,,,,,
Youtube,DL—BERT-multi,NEG,Negative,67,174,60,114,2,5,0.925,0.345,0.896,0.498,0.5,0.698,,,,,
Youtube,DL—BERT-multi,NEU,Neutral,214,3,3,0,163,48,0.776,1,0.014,0.028,1,0.507,,,,,
Youtube,DL—BERT-multi,ALL,All,295,242,70,172,172,53,0.82,,,,,,0.289,0.484,0.47,0.234,0.142
Youtube,DL—BETO,POS,Positive,14,48,3,45,11,0,1,0.062,0.214,0.097,0.84,0.527,,,,,
Youtube,DL—BETO,NEG,Negative,67,25,12,13,50,5,0.925,0.48,0.179,0.261,0.943,0.561,,,,,
Youtube,DL—BETO,NEU,Neutral,214,169,114,55,52,48,0.776,0.675,0.533,0.595,0.321,0.427,,,,,
Youtube,DL—BETO,ALL,All,295,242,129,113,113,53,0.82,,,,,,0.533,0.406,0.309,0.318,0.496
Youtube,DL—RoBERTa,POS,Positive,14,0,0,0,14,0,1,,0,0,1,0.5,,,,,
Youtube,DL—RoBERTa,NEG,Negative,67,0,0,0,62,5,0.925,,0,0,1,0.5,,,,,
Youtube,DL—RoBERTa,NEU,Neutral,214,242,166,76,0,48,0.776,0.686,0.776,0.728,0.062,0.419,,,,,
Youtube,DL—RoBERTa,ALL,All,295,242,166,76,76,53,0.82,,,,,,0.686,0.686,0.259,0.243,0.528
Youtube,DL—pysentimiento,POS,Positive,14,10,2,8,12,0,1,0.2,0.143,0.167,0.972,0.557,,,,,
Youtube,DL—pysentimiento,NEG,Negative,67,91,44,47,18,5,0.925,0.484,0.657,0.557,0.794,0.725,,,,,
Youtube,DL—pysentimiento,NEU,Neutral,214,141,114,27,52,48,0.776,0.809,0.533,0.642,0.667,0.6,,,,,
Youtube,DL—pysentimiento,ALL,All,295,242,160,82,82,53,0.82,,,,,,0.661,0.497,0.444,0.455,0.6
Youtube,Few—GPT-3.5,POS,Positive,14,49,13,36,1,0,1,0.265,0.929,0.413,0.872,0.9,,,,,
Youtube,Few—GPT-3.5,NEG,Negative,67,46,35,11,27,5,0.925,0.761,0.522,0.619,0.952,0.737,,,,,
Youtube,Few—GPT-3.5,NEU,Neutral,214,147,122,25,44,48,0.776,0.83,0.57,0.676,0.691,0.631,,,,,
Youtube,Few—GPT-3.5,ALL,All,295,242,170,72,72,53,0.82,,,,,,0.702,0.619,0.674,0.569,0.651
Youtube,Few—GPT-4o-mini,POS,Positive,14,18,8,10,6,0,1,0.444,0.571,0.5,0.964,0.768,,,,,
Youtube,Few—GPT-4o-mini,NEG,Negative,67,46,39,7,23,5,0.925,0.848,0.582,0.69,0.969,0.776,,,,,
Youtube,Few—GPT-4o-mini,NEU,Neutral,214,178,150,28,16,48,0.776,0.843,0.701,0.765,0.654,0.678,,,,,
Youtube,Few—GPT-4o-mini,ALL,All,295,242,197,45,45,53,0.82,,,,,,0.814,0.712,0.618,0.652,0.736
Youtube,Few—Llama-3,POS,Positive,14,87,14,73,0,0,1,0.161,1,0.277,0.74,0.87,,,,,
Youtube,Few—Llama-3,NEG,Negative,67,46,33,13,29,5,0.925,0.717,0.493,0.584,0.943,0.718,,,,,
Youtube,Few—Llama-3,NEU,Neutral,214,109,94,15,72,48,0.776,0.862,0.439,0.582,0.815,0.627,,,,,
Youtube,Few—Llama-3,ALL,All,295,242,141,101,101,53,0.82,,,,,,0.583,0.58,0.644,0.481,0.568
Youtube,Few—Llama-3.1,POS,Positive,14,27,7,20,7,0,1,0.259,0.5,0.341,0.929,0.714,,,,,
Youtube,Few—Llama-3.1,NEG,Negative,67,90,43,47,19,5,0.925,0.478,0.642,0.548,0.794,0.718,,,,,
Youtube,Few—Llama-3.1,NEU,Neutral,214,125,107,18,59,48,0.776,0.856,0.5,0.631,0.778,0.639,,,,,
Youtube,Few—Llama-3.1,ALL,All,295,242,157,85,85,53,0.82,,,,,,0.649,0.531,0.547,0.507,0.599
Youtube,Few—o1-mini,POS,Positive,14,76,12,64,2,0,1,0.158,0.857,0.267,0.772,0.815,,,,,
Youtube,Few—o1-mini,NEG,Negative,67,77,54,23,8,5,0.925,0.701,0.806,0.75,0.899,0.853,,,,,
Youtube,Few—o1-mini,NEU,Neutral,214,89,84,5,82,48,0.776,0.944,0.393,0.554,0.938,0.665,,,,,
Youtube,Few—o1-mini,ALL,All,295,242,150,92,92,53,0.82,,,,,,0.62,0.601,0.685,0.524,0.585
Youtube,Zero—GPT-3.5,POS,Positive,14,66,13,53,1,0,1,0.197,0.929,0.325,0.811,0.87,,,,,
Youtube,Zero—GPT-3.5,NEG,Negative,67,80,52,28,10,5,0.925,0.65,0.776,0.707,0.877,0.827,,,,,
Youtube,Zero—GPT-3.5,NEU,Neutral,214,96,87,9,79,48,0.776,0.906,0.407,0.561,0.889,0.648,,,,,
Youtube,Zero—GPT-3.5,ALL,All,295,242,152,90,90,53,0.82,,,,,,0.628,0.584,0.704,0.531,0.583
Youtube,Zero—GPT-4o-mini,POS,Positive,14,43,14,29,0,0,1,0.326,1,0.491,0.897,0.948,,,,,
Youtube,Zero—GPT-4o-mini,NEG,Negative,67,64,50,14,12,5,0.925,0.781,0.746,0.763,0.939,0.842,,,,,
Youtube,Zero—GPT-4o-mini,NEU,Neutral,214,135,123,12,43,48,0.776,0.911,0.575,0.705,0.852,0.713,,,,,
Youtube,Zero—GPT-4o-mini,ALL,All,295,242,187,55,55,53,0.82,,,,,,0.773,0.673,0.774,0.653,0.708
Youtube,Zero—Llama-3,POS,Positive,14,109,14,95,0,0,1,0.128,1,0.228,0.662,0.831,,,,,
Youtube,Zero—Llama-3,NEG,Negative,67,72,48,24,13,6,0.91,0.667,0.716,0.691,0.895,0.806,,,,,
Youtube,Zero—Llama-3,NEU,Neutral,214,60,59,1,107,48,0.776,0.983,0.276,0.431,0.988,0.632,,,,,
Youtube,Zero—Llama-3,ALL,All,295,241,121,120,120,54,0.817,,,,,,0.502,0.593,0.664,0.45,0.48
Youtube,Zero—Llama-3.1,POS,Positive,14,49,11,38,3,0,1,0.224,0.786,0.349,0.865,0.825,,,,,
Youtube,Zero—Llama-3.1,NEG,Negative,67,114,52,62,10,5,0.925,0.456,0.776,0.575,0.728,0.752,,,,,
Youtube,Zero—Llama-3.1,NEU,Neutral,214,79,74,5,92,48,0.776,0.937,0.346,0.505,0.938,0.642,,,,,
Youtube,Zero—Llama-3.1,ALL,All,295,242,137,105,105,53,0.82,,,,,,0.566,0.539,0.636,0.476,0.513
Youtube,Zero—o1-mini,POS,Positive,14,81,13,68,1,0,1,0.16,0.929,0.274,0.758,0.843,,,,,
