platform,text,A0001,A0002,A0003,sentiment_label
Facebook,🗣️ Esta es la posición sorteada para el primer #DebateINE entre las candidaturas presidenciales. ¡No te lo pierdas! 🗓️ 07/ABR-20 h. ▶️ tinyurl.com/mry578mj:=:https://www.youtube.com/watch?v=kZaucITWv00 / tinyurl.com/yrzbmpu8:=:https://www.facebook.com/events/d41d8cd9/primer-debate-presidencial-m%C3%A9xico-2024/961730158734068/ / tinyurl.com/5bdsw3ca:=:https://twitter.com/i/broadcasts/1nAKEaBnDPXKL,NEU,NEU,NEU,NEU
Facebook,Es cuestión de tiempo para que la morenista Claudia Sheinbaum Pardo pase a la historia como la primera mujer en tomar las riendas de México.,POS,POS,POS,POS
Facebook,"Sondeo a ""ras de tierra"" publicado por @enrique_glez68 👇🏻 #Comparte 🔄 ""Les traigo noticias después de 2 días de extenuantes jornadas levantando un sondeo a ras de tierra en donde realmente se define la elección, ajenos de sesgos partidistas y áreas territoriales a modo, en un levantamiento plural de 3,821 entrevistas en 8 módulos INE, 2 días"": Arrojaron resultados muy alentadores en cuanto a la participación predominantemente. Método: preguntas directas a ciudadanos formados en las filas de los modulos INE en espera para realizar su trámite de registro, actualización, cambio de domicilio o corrección de datos, etc. •Levantamiento 18 y 19 de enero de 2024. -Realizado en 8 diferentes módulos del INE. -3,821 personas entrevistadas. - 40 entrevistadores voluntarios, distribuidos de 5 por cada módulo. Vemos los resultados, que para una comprensión simple se presenta el % en números cerrados: •Segmentos genero Hombres = 41% Mujeres = 58% Otra identificación de género = 1% •Segmentos edad 18 a 28 = 15% 29 a 40 = 40% 41 a 60 =35% 61 y mayores = 7% Nuevos registros = 2% A continuación las respuestas a 4 preguntas específicas: •¿Motivo por el que acude a realizar su tramite? Para poder votar = 91% Para realizar tramites =2% Como identificación = 7% •¿Piensa votar el 2 de junio? Si = 88% No = 7% Aun no decide 5% •¿En en las 3 últimas elecciones ha votado? Si = 56% No = 41% Parcialmente =3% •Teniendo conocimiento de las personas postuladas a la presidencia, ¿Por que candidata (0) piensa votar? @XochitlGalvez = 63% @Claudiashein = 29% @AlvarezMaynez = 1% Aun no decide =7% •¿Por que partido o coalición votaría? PAN, PRI, PRD = 58% MORENA, PVEM, PT = 26% MC = 1% No decide = 15%. ""Espero les sea útil y genere una visión más clara del ánimo en la ciudadanía por decidir que rumbo de país desean"". #MéxicoVaConX 🤞🏻🇲🇽 #Bobby #Jalisco #TiaTatis #seguimosenmarcha #JusticiaParaSamantha #laesperanzayacambiodemano #AndresManuelElFraude #Política #ConLosNiñosNo #México #Presupuesto #ElClan #Huehuetoca #MEXICODESPIERTA #TeamLorenzo #elpresidentemascobardedelahistoria #FelizFinDeAMLO #PEMEX #CFE #RaTAMLO #peorpresidentedelahistoria #SantaLucía #elpresidentemascobardedemexico #Ecocidio #fideicomisos #Michoacan #NotiBaks #NoLeSaquesClaudia #video",NEU,NEU,NEU,NEU
Facebook,¿Entonces de que sirvió haberse puesto la botarga? De NADA 🤡,NEG,NEG,NEG,NEG
Facebook,😔🥹,NEU,NEG,NEG,NEG
Facebook,🤷🏽🤦🏽😂,POS,POS,NEU,POS
Facebook,"@#Xochitl Gálvez Fuerza Rosa y Fuerte como Tú,",NEU,POS,POS,POS
Facebook,"Solo hay un proyecto con visión humanista y de bienestar, el de Claudia Sheinbaum. ¡Hoy #ClaudiaArrasaDebate! #ClaudiaPresidenta",NEU,POS,POS,POS
Facebook,¡Amanecimos bien y de buenas! #JuntosHaciendoHistoria #ClaudiaSheinbaum #JorgeMiranda,NEG,POS,POS,POS
Facebook,En todos los🚦les encanta ver y saludar al movimiento 🍊!! Y así fue en Periférico e Independencia GRACIAS!!! DAYLIN GARCÍA por la invitación 🧡#AlmaAraujo #Mexicali #MovimientoCiudadano #MovimientoNaranja #candidatas #Elecciones2024 #LoNuevoVaEnSerio,POS,POS,POS,POS
Facebook,"De acuerdo a la encuesta de Reforma, el PRIAN sería tercera fuerza política…

así las preferencias electorales en Jalisco rumbo al 2 de junio.",NEU,NEU,NEU,NEU
Facebook,"En apoyo a los programas y propuestas de #ClaudiaSheinbaum para el gobierno de #México nuestra candidatura a la alcaldía de #Parras también luchará por reconocer y dignificar los derechos de las mujeres parrenses. 

Vamos a lograr #JusticiaSocial en todos los ámbitos para las y los parrenses, este 2 de junio #VotaMorena y transformemos Parras ‼️💪🗳️

#KarlaOrta #PorElBienestarDeParras",POS,POS,POS,POS
Facebook,"En este breve video, analizamos la reciente campaña de la candidata respaldada por las élites económicas y los partidos corruptos, así como su preocupante vínculo con la intervención extranjera en las elecciones mexicanas. Desde reuniones con figuras polémicas hasta el gasto millonario en redes sociales, exploramos cómo se están moviendo las fichas en el tablero político. Además, agradecemos a nuestra comunidad por hacer crecer nuestro espacio libre de desinformación a 200 mil seguidores en Facebook. ¡Juntos somos un contrapeso vital en la lucha por la verdad y la transparencia en la información!

#XóchitlGálvez #PRIAN #FelipeCalderón #España #México #ClaudiaSheinbaum",NEU,NEG,POS,NEU
Facebook,"Índice Noticias al Aire con Herman Corzo.

#MorenaDistrito13 #tveatlixco #AtlixcoPuebloMagico #Puebla #AlejandroArmenta #ClaudiaSheinbaum #ClaudiaSheinbaumPresidenta
 #pueblayork #Atlixco",NEU,NEU,NEU,NEU
Facebook,"LA DIRIGENCIA ESTATAL, REGIONAL Y MUNICIPAL DEL PVEM CONVOCAN A SUS MILITANTES AL MITIN DE CAMPAÑA DE LA CANDIDATA A LA PRESIDENCIA DE LA REPÚBLICA, CLAUDIA SHEINBAUM PARDO, EN PUERTO ESCONDIDO Y SANTA MARÍA HUATULCO, OAXACA.",NEU,NEU,NEU,NEU
Facebook,".@fernandeznorona, dip. por el PT y coordinador del vínculo con organizaciones sociales de la campaña de la Dra. @Claudiashein, cuestionó que el junior @colosioriojas llame a una alianza de la derecha, cuando fue el @PRI_Nacional el que m4tó a su padre https://youtu.be/-62x7aCD00s?si=huJ6FbAArCjDJLuo:=:https://www.youtube.com/watch?v=-62x7aCD00s",NEG,NEG,NEG,NEG
Facebook,¡Bienvenida a Nuevo León Claudia Sheinbaum! Juntos estamos consolidando la 4T en el estado.,POS,POS,POS,POS
Facebook,"Hace más de dos años empezamos a conformar un equipo de gente ganadora, que por primera vez va a aparecer en las boletas. #LoNuevo y lo bueno surge de ciudadanos comprometidos con su comunidad, vamos a sacar a la vieja política que va para seis años mal gobernando Navojoa.",NEG,POS,POS,POS
Facebook,"¡Somos pueblo, con el pueblo y para el pueblo! ¡Vamos pueblo! Esta es la hora de seguir conquistando la esperanza y el porvenir. #ClaudiaPresidenta #PlanC #SigamosHaciendoHistoria #ClaudiaArrasa",POS,POS,POS,POS
Facebook,Enfatizó la necesidad de que el Poder Judicial esté a la altura del México moderno y haga justicia para quienes menos tienen.,NEG,NEG,NEU,NEG
Facebook,". ❌🎯 en IXMIQUILPAN, HGO. domingo 7 de enero #FelizFinDeAMLO #XochitlVa #XochitlGalvez #FuerzaRosa",NEU,NEU,NEU,NEU
Facebook,En México como en San Luis Río Colorado #EsTiempoDeMujeres y reafirmamos nuestro compromiso incondiciónal con nuestra precandidata única Claudia Sheinbaum por la continuación de esta 4 Transfomación.,POS,POS,POS,POS
Facebook,"#ClaudiaPresidenta | ¡No te pierdas este gran evento! 🎉 Mañana, 5 de Mayo, a las 13:30 horas, recibiremos con alegría a las candidatas para la presidencia y jefatura de gobierno, Claudia Sheinbaum y Clara Brugada, en VCarranza. 📍Nos reuniremos en la calle Norte 25 y Oriente 168, No. 219, colonia Moctezuma 2a sección. Será un momento lleno de energía, de bienestar y transformación. ¡No faltes! 💫 #LaJefaEsClara #EsClaudia #ClaudiaArrasa",POS,POS,POS,POS
Facebook,Nadie: Fox ayudando a XOCHITL 😂,NEG,NEG,NEU,NEG
Facebook,"Los Centros Públicos de Educación Inicial serán parte de lo que llamamos un sistema de cuidados, porque las mujeres tenemos el derecho de salir a trabajar, si así lo deseamos, y que nuestr@s hijas e hijos estén protegidos.",POS,POS,NEU,POS
Facebook,"¡Otra semana en la que Claudia Sheinbaum arrasa en absolutamente todas las encuestas! 😎📈

#MéxicoConClaudia.
#ClaudiaArrasa.",POS,POS,POS,POS
Facebook,"AMLO con todo el poder del Estado mexicano en su estado mental, es el mayor peligro para Mxico en su historia. Hoy en Juicio Final

HOY EN JUICIO FINAL:

Mark Staroselsky
Pedro Ferriz de Con
Francisco Rico Toro
Eduardo Novoa

¡EN VIVO!
Debate Inteligente, Plática abierta, plática informada.
.
@PedroFerriz @MarkStaroselsky @EduardoNovoa @FranciscoRicoToro

#PedroFerriz #SenadoresPan  #INE #amlo #amlohoy #Xochitl  #RafaElías
#noticias #Noticiasenvivo #Consejeros #showdrag #Militarizacion #MarkStaroselsky #derecha #ElINENoSeToca #hablandoclaroconmarkstar #markstaroselsky #FoxNews #TuckerCarlson

HABLANDO CLARO CON MARK STAROSELSKY y Central FM son medios independientes, no pertenecemos a ningún Partido Político o empresa alguna. Somos un medio libre, sin compromisos con nadie, más que con la verdad.

*Nuestro trabajo depende de tu apoyo, conviértete en mecenas de 
Hablando Claro y ayúdanos así, a seguir con esta importante labor:

APÓYANOS EN PATREON:
https://www.patreon.com/HablandoClaroConMarkStaroselsky

PayPal: https://www.paypal.com/paypalme/MarkStaroselsky 

BBVA: 4152-3140-5783-3066
Tu donativo es muy importante para seguir adelante con nuestra labor. 
¡Muchas gracias!

Visítanos en Tik Tok: https://www.tiktok.com/@hablando.claro

Twitter:    https://twitter.com/MarkStaroselsky
Visítanos en
Facebook: https://www.facebook.com/HablandoClaroConMark

Derechos musicales: Librería YouTube
News Theme de Kevin MacLeod cuenta con una licencia Creative Commons Atribución 4.0. https://creativecommons.org/licenses/by/4.0/
Artista: http://incompetech.com/
News Theme 1 de Audionautix cuenta con una licencia Creative Commons Atribución 4.0. https://creativecommons.org/licenses/by/4.0/
Artista: http://audionautix.com/
News Theme 2 de Audionautix cuenta con una licencia Creative Commons Atribución 4.0. https://creativecommons.org/licenses/by/4.0/
Artista: http://audionautix.com/
Fiesta Jarocha - Jimena Contreras
Funeral in Sinaloa - Jimena Contreras
I Had a Feeling - TrackTribe

Girasol: Qincas Moreira

News Theme 1 de Audionautix cuenta con una licencia Creative Commons Atribución 4.0. https://creativecommons.org/licenses/by/4.0/

Artista: http://audionautix.com

¿Quieres crear transmisiones en vivo como esta? Echa un vistazo a StreamYard: https://streamyard.com/pal/d/6152607249465344",NEG,NEG,NEG,NEG
Facebook,Apoya nuestro canal y las actividades de @SocCivilMxhttps://www.youtube.com/channel/UCV2yaa9tDWWH1VkpFbERYDg/join,POS,NEU,NEU,NEU
Facebook,📰 #PORTADA | #FelizJueves 14 de marzo 📢,NEU,NEU,NEU,NEU
Facebook,". ❌💟 Caminata en IZTAPALAPA
             jueves 7 de marzo 🤞
#FuerzaRosa
#MxSinMiedo
#XochitlVa
#XochitlGalvez",POS,NEU,NEU,NEU
Facebook,🔴 Por supuesto que las mujeres también serán prioridad en el gobierno de Claudia Sheinbaum. 💜 #ClaudiaPresidenta #CuartaTransformación #4T #Mx,POS,POS,POS,POS
Facebook,Como así 😳,NEU,NEU,NEU,NEU
Facebook,"Comunícate al +1 (844) 266-6456, Derecho Total es un medio independiente, no pertenecemos a ningún Partido Político o empresa alguna. Somos un medio libre, sin compromisos con nadie, más que con la verdad.

♦️El acontecer nacional
♦️Lo más relevante de México y el Mundo
♦️Milo Sanchez EN VIVO
Plática abierta, plática honesta, plática informada.
Hoy, en vivo, participa, da tu opinión, levanta la voz, no te quedes callado.

#ElenaChavez @#eltiorichieltiorichi  @RicardoBSalinas   #xochitl #xochitlgalvez #xochitlva #fuerzarosa  #xóchitlgálvez #pan #pri #INE #amlo #amlohoy #noticias #noticiasenvivo  #consejeros  #srax #xochitl   #derecha #elinenosetoca   #FoxNews #xochitlpresidenta #xochitlgalvez @accionnacional   #claudiamlo  #xochitlgalvez #derechototal #politica #consumidor #internacional #elpoderdetuvoz #programa #milosanchez #bukelecontralaspandillas #elsalvador #dolarabajo #eleccionesespaña #amlo 

*Nuestro trabajo depende de tu apoyo, conviértete en mecenas de Derecho Total y ayúdanos así, a seguir con esta importante labor.",NEU,NEU,NEU,NEU
Facebook,Claudia Sheinbaum afirma que el agua está garantizada en Ciudad de México pese a la sequía - CDMX - Ángel Metropolitano,POS,NEU,POS,POS
Facebook,. 🌞 GRACIAS SON⭕RA 1 y 2 de mayo #MxSinMiedo #XochitlVa #Sonora #XochitlGalvez,POS,POS,NEU,POS
Facebook,"🗳️🇲🇽 Así habría sido el voto de los mexicanos de acuerdo a género, edad e ingresos. En todos los ámbitos arrasó Sheinbaum. En donde la contienda ""se cerró"" un poco, entre Claudia y Xóchitl, fue de quienes ganan de 50 mil pesos o más; sin embargo, aquí también triunfó la virtual presidenta electa de la 4T. 🟠 Mientras que el mayor porcentaje de votantes de Jorge Álvarez Máynez los obtuvo en los jóvenes que tienen entre 18 y 29 años, de acuerdo con información de encuesta preelectoral de Áltica. ¿Qué opinas? 🔗: https://acortar.link/Eq75Ge:=:https://www.radioformula.com.mx/nacional/2024/6/4/quienes-votaron-por-sheinbaum-spoiler-clases-medias-altas-la-prefirieron-tambien-818912.html #RadioFórmulaMx #AbriendoLaConversación",NEU,NEU,NEU,NEU
Facebook,"Mario Di Constanzo. 🔴ATENCIÓN URGENTE🔴 Esto es una prueba REAL que muestra que el GOBIERNO ya se esta ROBANDO las Afores , el correo lo recibí hoy ! ⁦@lopezobrador_⁩ ⁦@Claudiashein⁩ ⁦⁦@CONSAR_mx⁩",NEG,NEG,NEG,NEG
Facebook,"#𝗣𝗥𝗘𝗦𝗜𝗗𝗘𝗡𝗧𝗘 | 𝗔𝗣𝗥𝗢𝗕𝗔𝗖𝗜𝗢́𝗡 𝗣𝗥𝗘𝗦𝗜𝗗𝗘𝗡𝗖𝗜𝗔𝗟 - 𝗝𝗨𝗟𝗜𝗢

▪️ Al 26 de Julio del 2024 y faltando 3 meses para que la virtual presidenta Claudia Sheinbaum tome protesta, registra un 68% de aprobación por parte del pueblo de #México.

▪️ En base a nuestra última encuesta de aprobación presidencial.

@seguidores",NEU,NEU,NEU,NEU
Facebook,"#Guamúchil #Xochitl 🟥🟪🟨🟦 ¡¡ 𝗬 𝗫𝗢𝗖𝗛𝗜𝗧𝗟 𝗦𝗘 𝗣𝗨𝗦𝗢 𝗟𝗔 𝗗𝗘 𝗠𝗔𝗥𝗖𝗢 𝗔𝗡𝗧𝗢𝗡𝗜𝗢 !! ** Envía candidata al Gobierno de la República por la Alianza Fuerza y Corazón por México, sus mejores deseos de triunfo para Marco Antonio López González, candidato a la Presidencia Municipal de Salvador Alvarado. Esto en su visita, este pasado domingo a Sinaloa.",POS,POS,POS,POS
Facebook,"EN VIVO 🎥 🎬 ⏯️ 
Efrain Francisco Sánchez Manjarrez ®️
Desde los estudios de MCV Noticias en su programa #LaEsquinaDelMovimiento

Hoy, miércoles 1 de mayo acompáñame con mis amigos Don Gabriel Barquet Armenteros y Alfonso Rosado, por supuesto en Quintana Roo Newss Las de Playa El Grillo Quintanarroense Pedro Juárez Mauss Digital Jaque Mate Sin Filtro Live Quintana Roo 60 Segundos El Chaquiste Quintana Roo Vox QR 

#EfraínSánchez #PlayaDelCarmen #RivieraMaya #Solidaridad #Viral  #LiliCampos #EstefaniaMercado #SixtoCuevas #QuintanaRoo #EnVivo #PopularAhora #XochitlGalvez #ClaudiaSheinbaum #JorgeÁlvarezMáynez #CarnavalPlayaDelCarmen 

#QuintanaRooNewss",NEU,NEU,NEU,NEU
Facebook,"Durante estos días de campaña el recibimiento de la gente me ha dejado impactada, es increíble ver como cada día se suman más y más personas al proyecto naranja.
 Desde el campo hasta la ciudad caminaremos para reafirmar mi compromiso con los teapanecos, este día recorrimos, casa por casa el Ejido José María Morelos y Pavón, les agradezco mucho el tiempo que me brindaron a mis amigos y amigas el día de hoy.
Puedo decir que las personas están seguras en quien confiar, saben que soy una mujer de palabra y de compromiso, nuevamente muchas gracias mi querido #Teapa por seguir abriendo las puertas de sus hogares para recibirnos y escuchar nuestras propuestas.
#UnidosPorTeapa
#TeapaEnMovimiento
#LoNuevoVaEnSerio",POS,POS,POS,POS
Facebook,"‼️En punto de las 11:00 AM, #ClaudiaSheinbaum presentará parte de su gabinete, tres mujeres y tres hombres ¡Todos atentos! 👀",NEU,NEU,NEU,NEU
Facebook,"Y es lógico que para un sector de la población, todo esto sea una tontería porque para ellos lo correcto es que dejen obras tiradas que devalúen nuestra moneda que pisoteen los derechos laborales del pueblo..Se entiende perfectamente…. Ellos  nunca van a aceptar la realidad porque ellos traen una realidad en su mente..￼🤷🏻",NEG,NEG,NEG,NEG
Facebook,Claudia Sheinbaum Candidata a la Presidencia de México visitó el estado de Oaxaca para hacer proselitismo.,NEU,NEU,NEG,NEU
Facebook,"🤽‍♀️Acapulco Express 🤽‍♀️
📢📢🏖🏖Últimos lugares 🏖🏖📢📢
🌻Viaje de 1 día 🌻
Incluye:
Transporte viaje redondo 🥳
Seguro del viajero 🌻
Coordinadora de grupo 🙋‍♀️
Costo por persona $750
 Visitamos ‼
🌻Puerto Márquez 

🚦Puntos de abordar 🌻🌻
🌻Santa Rosa de Lima ""LA BOMBA""
🌻Puente de San Mateo Atenco 
🌻Sendero
🌻Crisa
🌻Pilares 
🌻Liverpool 
🌻patio Toluca 
🌻price shoes 
🌻La carredana 
🌻Puente metepec 
🌻(Puntos sobre ruta sin problema)📢📢

Realiza abonos semanales o quincenales 🥰
De acuerdo a tus posibilidades 🌻
Únicamente el viaje tiene que estar liquidado 1 semana antes de la salida

🌻Reservaciones🌻
🙋‍♀️Personales 
📱Transferencias 
🖥Depositos

 Informes 🌻 Contáctanos ☎️
🌻WhatsApp  729-315-7598 Xochitl Karen Olivares Salvador 

Somos ⬇️🌻
Excursiones y viajes OlivaresS XK  
#viajemosjuntos #segurosydivertidostumejoropcion🌻",NEU,NEU,POS,NEU
Facebook,"#YoConClaudia
Si las cosas siguen como hasta el
Día de hoy, el 2 de Junio Claudia Sheinbaum estaría ganando con 2.5 millones de votos más que AMLO en el 2018.
La primera mujer en llegar a la presidencia rompiendo el récord del más grande. 
Vaya momento de la historia que vivimos!",POS,POS,POS,POS
Facebook,HICIERON ENOJAR AL TIGRE ¡AMLO CONVOCA URGENTE REFORMA¡VA POR CAB3ZAS DEL PODER JUDICIAL! #AMLOHoy #noticias #PRIAN #PoderJudicial #4Transformacion #NoticiasHoy #política #ClaudiaPresidenta #fypツ #ULTIMAHORA #política #claudiasheinbaum #AMLO,NEG,NEG,NEG,NEG
Facebook,"El día jueves 25 de este mes tendremos nuestro arranque con un crucero donde se les hace la invitación a todos los compañeros amigos y familiares a apoyarnos.estaran los candidatos Ivette Pichardo08 y Enrique Figueroa Garcia 09

 #PichardoD8 #Pichard8 #MCPichardo #Distrito8 #DiputadaLocal #D8 #JrzDistrito8 #DiputadaJrz #MovimientoCiudadano #CiudadJuárez #Chihuahua #FosfoFosfo #LoNuevo #LoNuevoVaEnSerio #elfuturoesnaranjaa",POS,NEU,POS,POS
Facebook,"Soy Horacio Ramirez un Zempoalteco convencido de que podemos construir un Nuevo Zempoala, ese Zempoala con el que todos y todas soñamos. Únete a este Movimiento, juntos pintaremos Zempoala de color Naranja. #Lonuevovaenserio #Llególahoradelcambio #llególahoradehoracio https://www.facebook.com/HoracioRamirezMx?mibextid=LQQJ4d",POS,POS,POS,POS
